,OPEN,HIGH,LOW,CLOSE,MEAN HIGH-LOW,MEAN CLOSE-OPEN,TRENDS MEAN,UP|DOWN,POSITVE ANALZE TWEETS,NEGATIVE ANALZE TWEETS,CHANGE
0,47666.0,48264.0,46982.0,47896.0,47623.0,47781.0,99.0,1,29,10,0.0026586279804894386
2,51041.0,52191.0,50846.0,51029.0,51518.5,51035.0,98.0,0,28,10,-0.00017633919824444532
3,50770.0,51407.0,50016.0,51038.0,50711.5,50904.0,98.5,1,28,10,0.00517971442639094
4,51249.0,51437.0,50751.0,50775.0,51094.0,51012.0,100.0,0,29,10,-0.0051140371502468845
5,50907.0,51795.0,50747.0,51036.0,51271.0,50971.5,96.5,1,28,10,0.005358127807107399
6,48847.0,51116.0,48342.0,50764.0,49729.0,49805.5,100.0,1,29,10,0.04135554279149914
7,49236.0,49488.0,48748.0,48748.0,49118.0,48992.0,91.0,0,28,10,-0.004126659856996936
8,47141.0,49264.0,46956.0,48950.0,48110.0,48045.5,97.5,1,28,10,0.05475231097416449
9,46853.0,46924.0,45266.0,46409.0,46095.0,46631.0,96.0,0,28,10,-0.010215833475516124
10,46958.0,48368.0,46697.0,46888.0,47532.5,46923.0,97.0,0,28,10,-0.0015332197614991482
11,46266.0,47403.0,45885.0,46960.0,46644.0,46613.0,94.0,1,28,10,0.010696683382476379
12,47666.0,48119.0,46033.0,46463.0,47076.0,47064.5,97.0,0,29,10,-0.028316289185854403
13,48924.0,49259.0,47797.0,47817.0,48528.0,48370.5,98.0,0,29,10,-0.023784247274509004
14,48419.0,49400.0,47198.0,48982.0,48299.0,48700.5,92.0,1,29,10,0.009251437166464056
15,46841.0,48743.0,46712.0,48533.0,47727.5,47687.0,94.0,1,27,10,0.035414844366692975
17,49579.0,50763.0,48963.0,50176.0,49863.0,49877.5,99.0,1,27,10,0.012715456343599886
18,47367.0,49571.0,47267.0,49546.0,48419.0,48456.5,97.5,1,27,10,0.04582585751978892
19,47713.0,49926.0,47147.0,47375.0,48536.5,47544.0,94.5,0,27,11,-0.00858009835722507
20,50607.0,50649.0,47615.0,47785.0,49132.0,49196.0,94.0,0,26,11,-0.05525899565045472
21,50772.0,51178.0,49221.0,50580.0,50199.5,50676.0,97.5,0,26,11,-0.0021897378232822395
22,50607.0,51756.0,50427.0,50691.0,51091.5,50649.0,85.5,1,26,11,0.0011059543793818505
23,49671.0,50966.0,47921.0,50635.0,49443.5,50153.0,72.5,1,26,11,0.019921040970068082
24,49437.0,49774.0,48301.0,49646.0,49037.5,49541.5,96.0,1,26,10,0.0018363434567652103
26,56576.0,57328.0,52244.0,53818.0,54786.0,55197.0,96.0,0,26,9,-0.049806670315506986
27,57272.0,57291.0,56231.0,56639.0,56761.0,56955.5,97.5,0,26,9,-0.011363239657880957
28,56978.0,58657.0,56853.0,57290.0,57755.0,57134.0,96.5,1,26,9,0.00241461366181411
